Date,TotalCases,TotalDeaths,Guinea,,Liberia,,Sierra Leone,
2014-11-04,"13,241","4,950","1,760","1,054","6,619","2,766","4,862","1,130"
2014-11-02,"13,014","5,191","1,731","1,041","6,524","2,700","4,759","1,450"
2014-10-30,"12,647","5,087","1,675","1,022","6,485","2,636","4,487","1,429"
2014-10-24,"11,868","5,026","1,598",981,"6,253","_2,704","4,017","1,341"
2014-10-19,"9,911","4,890","1,540",926,"_4,665","_2,705","3,706","1,259"
2014-10-17,"9,668","4,802","1,501",886,"_4,607","_2,689","3,560","1,227"
2014-10-12,"8,973","4,484","1,472",843,"_4,249","_2,458","3,252","1,183"
2014-10-07,"8,363","3,979","1,350",778,"_4,076","_2,316","2,937",885
2014-10-05,"8,011","3,857","1,298",768,"_3,924","_2,210","2,789",_879
2014-10-01,"7,470","3,431","1,199",739,"_3,834","_2,069","2,437",623
2014-09-28,"7,170","3,278","1,157",710,"_3,696","_1,998","2,317",570
2014-09-23,"6,553","3,035","1,074",648,"_3,458","_1,830","2,021",557
2014-09-21,"6,242","2,892","1,022",635,"_3,280","_1,707","1,940",550
2014-09-13,"5,317","2,578",942,601,"_2,720","_1,461","1,655",516
2014-09-07,"4,366","2,170",861,557,"2,081","1,137","1,424",476
2014-09-03,"3,902","2,052",823,522,"1,863","1,078","1,292",452
2014-08-31,"3,685","1,801",771,494,"1,698",871,"1,216",436
2014-08-25,"3,052","1,546",648,430,"1,378",694,"1,026",422
